year,haul_date,species,fmp_subarea,gear_type,extrapolated_weight
2020,2020-07-18T00:00:00Z,330,CG,1,3265.22
2020,2020-05-22T00:00:00Z,330,CG,1,516.08
2020,2020-11-06T00:00:00Z,330,CG,1,589.48
2020,2020-07-03T00:00:00Z,330,CG,1,1251.18
2020,2020-07-15T00:00:00Z,330,CG,1,1319.44
2020,2020-05-17T00:00:00Z,330,CG,1,17277.16
2020,2020-06-10T00:00:00Z,330,CG,1,21591.96
2020,2020-05-22T00:00:00Z,330,CG,2,510
2020,2020-07-30T00:00:00Z,330,WG,1,405.65
2020,2020-06-05T00:00:00Z,330,CG,1,6006.01
2020,2020-06-30T00:00:00Z,330,CG,1,1413.77
2020,2020-07-09T00:00:00Z,330,CG,1,2055.6
2020,2020-05-23T00:00:00Z,330,CG,2,836.03
2020,2020-07-12T00:00:00Z,330,CG,1,3402.13
2020,2020-05-26T00:00:00Z,330,CG,1,37.98
2020,2020-05-30T00:00:00Z,330,CG,2,415.93
2020,2020-07-04T00:00:00Z,330,CG,1,5670.44
2020,2020-07-08T00:00:00Z,330,CG,1,12901.7
2020,2020-07-25T00:00:00Z,330,WG,1,2714.95
2020,2020-07-15T00:00:00Z,330,CG,1,128.98
2020,2020-10-11T00:00:00Z,330,CG,2,292.7
2020,2020-05-12T00:00:00Z,330,CG,1,2963.81
2020,2020-05-30T00:00:00Z,330,CG,1,878.26
2020,2020-05-22T00:00:00Z,330,CG,2,303.29
2020,2020-05-27T00:00:00Z,330,CG,2,162.31
2020,2020-08-02T00:00:00Z,330,WG,1,772.69
2020,2020-07-08T00:00:00Z,330,CG,1,1852.89
2020,2020-07-30T00:00:00Z,330,WG,1,2159.87
2020,2020-08-11T00:00:00Z,330,CG,1,266.97
2020,2020-05-04T00:00:00Z,330,CG,1,6232.84
2020,2020-10-16T00:00:00Z,330,CG,2,413.97
2020,2020-05-01T00:00:00Z,330,CG,1,2046.36
2020,2020-05-19T00:00:00Z,330,CG,1,1790.4
2020,2020-05-20T00:00:00Z,330,CG,1,3653.55
2020,2020-05-22T00:00:00Z,330,CG,2,1791.96
2020,2020-05-22T00:00:00Z,330,CG,2,378.01
2020,2020-07-02T00:00:00Z,330,CG,1,260.42
2020,2020-06-10T00:00:00Z,330,CG,1,5783.8
2020,2020-05-21T00:00:00Z,330,CG,2,202.2
2020,2020-05-21T00:00:00Z,330,CG,2,1597.26
2020,2020-05-31T00:00:00Z,330,CG,2,2868.6
2020,2020-05-26T00:00:00Z,330,CG,2,1448.17
2020,2020-07-21T00:00:00Z,330,WG,1,493.06
2020,2020-07-27T00:00:00Z,330,WG,1,3064.66
2020,2020-08-02T00:00:00Z,330,WG,1,1258.87
2020,2020-07-18T00:00:00Z,330,CG,1,9968.99
2020,2020-08-07T00:00:00Z,330,CG,1,2788.16
2020,2020-08-07T00:00:00Z,330,CG,1,54.46
2020,2020-05-03T00:00:00Z,330,CG,1,1868.39
2020,2020-06-05T00:00:00Z,330,CG,1,777.5
2020,2020-05-02T00:00:00Z,330,CG,1,436.64
2020,2020-05-22T00:00:00Z,330,CG,2,267.02
2020,2020-05-29T00:00:00Z,330,CG,1,4929.44
2020,2020-05-29T00:00:00Z,330,CG,2,528.63
2020,2020-05-22T00:00:00Z,330,CG,2,445.28
2020,2020-07-07T00:00:00Z,330,CG,1,1613.89
2020,2020-07-07T00:00:00Z,330,CG,1,215.81
2020,2020-05-30T00:00:00Z,330,CG,2,519.64
2020,2020-07-21T00:00:00Z,330,WG,1,1002.77
2020,2020-07-21T00:00:00Z,330,WG,1,593.58
2020,2020-07-21T00:00:00Z,330,WG,1,621.5
2020,2020-07-23T00:00:00Z,330,WG,1,1776.29
2020,2020-07-30T00:00:00Z,330,WG,1,3931.75
2020,2020-07-17T00:00:00Z,330,CG,1,44.12
2020,2020-07-17T00:00:00Z,330,CG,1,3739.08
