"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-11-05,303,"GOA",1,142.01
2018,2018-11-07,303,"GOA",1,127.42
2018,2018-11-07,303,"GOA",1,240.01
2018,2018-04-04,303,"GOA",1,35.5
2018,2018-10-31,303,"GOA",1,990.92
2018,2018-06-08,303,"GOA",1,16.71
2018,2018-08-02,303,"GOA",1,70.94
2018,2018-07-31,303,"GOA",1,36.51
2018,2018-07-31,303,"GOA",1,1908.04
2018,2018-08-01,303,"GOA",1,1621.16
2018,2018-08-01,303,"GOA",1,4125.83
2018,2018-08-01,303,"GOA",1,28.68
2018,2018-07-30,303,"GOA",1,39.48
2018,2018-06-23,303,"GOA",1,3573.74
2018,2018-06-23,303,"GOA",1,4284.04
2018,2018-06-23,303,"GOA",1,1348.73
2018,2018-06-23,303,"GOA",1,8388.21
2018,2018-06-24,303,"GOA",1,5970.81
2018,2018-06-24,303,"GOA",1,2218.06
2018,2018-06-24,303,"GOA",1,9022.4
2018,2018-06-24,303,"GOA",1,5528.44
2018,2018-06-24,303,"GOA",1,3131.67
2018,2018-06-24,303,"GOA",1,3710.19
2018,2018-06-25,303,"GOA",1,127
2018,2018-06-25,303,"GOA",1,506.37
2018,2018-08-30,303,"GOA",2,901.19
2018,2018-10-03,303,"GOA",2,757.9
2018,2018-06-26,303,"GOA",1,49.81
2018,2018-06-26,303,"GOA",1,207.97
2018,2018-06-26,303,"GOA",1,194.15
2018,2018-06-28,303,"GOA",1,89.43
2018,2018-11-04,303,"GOA",1,1758.38
2018,2018-11-04,303,"GOA",1,2472.3
2018,2018-11-05,303,"GOA",2,1155.82
2018,2018-10-12,303,"GOA",1,37.89
2018,2018-10-13,303,"GOA",1,8807.98
2018,2018-10-15,303,"GOA",1,54.21
2018,2018-06-13,303,"GOA",1,68.46
2018,2018-06-14,303,"GOA",1,14.65
2018,2018-06-29,303,"GOA",1,67.53
2018,2018-07-03,303,"GOA",1,1126.91
2018,2018-07-03,303,"GOA",1,1210.89
2018,2018-07-04,303,"GOA",1,3483.67
2018,2018-07-04,303,"GOA",1,3289.78
2018,2018-06-30,303,"GOA",1,34.21
2018,2018-07-03,303,"GOA",1,3540.52
2018,2018-07-03,303,"GOA",1,4089.48
2018,2018-07-04,303,"GOA",1,3262.05
2018,2018-07-12,303,"GOA",1,2551.61
2018,2018-07-15,303,"GOA",1,48.57
2018,2018-07-15,303,"GOA",1,12688.42
2018,2018-07-15,303,"GOA",1,7005.91
2018,2018-07-17,303,"GOA",1,1396.24
2018,2018-07-17,303,"GOA",1,4592.36
2018,2018-07-17,303,"GOA",1,6741.63
2018,2018-07-17,303,"GOA",1,2856.55
