"YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
2017,2017-07-04,303,"GOA",13566.5
2017,2017-07-05,303,"GOA",7854.87
2017,2017-07-05,303,"GOA",3012.37
2017,2017-07-05,303,"GOA",946.47
2017,2017-07-05,303,"GOA",1097.7
2017,2017-07-05,303,"GOA",952.21
2017,2017-02-16,303,"GOA",14.57
2017,2017-06-01,303,"GOA",151.42
2017,2017-02-02,303,"GOA",60.11
2017,2017-04-06,303,"GOA",6.46
2017,2017-04-08,303,"GOA",21.53
2017,2017-06-14,303,"GOA",1601.5
2017,2017-06-30,303,"GOA",3134.65
2017,2017-06-30,303,"GOA",228.33
2017,2017-06-30,303,"GOA",502.39
2017,2017-06-28,303,"GOA",671.33
2017,2017-06-28,303,"GOA",322.74
2017,2017-06-28,303,"GOA",88.68
2017,2017-06-29,303,"GOA",272.99
2017,2017-06-29,303,"GOA",112.31
2017,2017-06-29,303,"GOA",144.62
2017,2017-06-29,303,"GOA",661.18
2017,2017-06-30,303,"GOA",8090.19
2017,2017-06-25,303,"GOA",333.73
2017,2017-06-25,303,"GOA",1005.19
2017,2017-06-25,303,"GOA",297.58
2017,2017-06-25,303,"GOA",23.8
2017,2017-06-27,303,"GOA",711.26
2017,2017-07-01,303,"GOA",5663.68
2017,2017-07-02,303,"GOA",3309.25
2017,2017-07-02,303,"GOA",1440.71
2017,2017-07-02,303,"GOA",224.05
2017,2017-07-02,303,"GOA",1212.86
2017,2017-07-03,303,"GOA",783.21
2017,2017-07-03,303,"GOA",1856.71
2017,2017-07-03,303,"GOA",847.18
2017,2017-07-03,303,"GOA",799.35
2017,2017-07-04,303,"GOA",60.54
2017,2017-07-04,303,"GOA",137.49
2017,2017-05-09,303,"GOA",491.84
2017,2017-05-09,303,"GOA",575.78
2017,2017-05-09,303,"GOA",562.63
2017,2017-05-09,303,"GOA",118.48
2017,2017-05-12,303,"GOA",105.86
2017,2017-05-12,303,"GOA",65.86
2017,2017-05-12,303,"GOA",2410.9
2017,2017-05-12,303,"GOA",3484.37
2017,2017-05-13,303,"GOA",308.95
2017,2017-05-13,303,"GOA",126.91
2017,2017-05-11,303,"GOA",3082.38
2017,2017-05-12,303,"GOA",59.11
2017,2017-05-10,303,"GOA",209.97
2017,2017-05-11,303,"GOA",29.18
2017,2017-05-20,303,"GOA",82.92
2017,2017-05-20,303,"GOA",274.61
2017,2017-11-03,303,"GOA",20.59
2017,2017-11-05,303,"GOA",404.69
2017,2017-09-06,303,"GOA",28.13
2017,2017-09-06,303,"GOA",100.21
2017,2017-09-08,303,"GOA",25.32
2017,2017-09-09,303,"GOA",37.98
2017,2017-09-10,303,"GOA",8.44
2017,2017-09-10,303,"GOA",13.19
2017,2017-06-23,303,"GOA",31.74
2017,2017-06-24,303,"GOA",31.64
2017,2017-06-25,303,"GOA",18.83
2017,2017-06-19,303,"GOA",118.23
2017,2017-06-22,303,"GOA",87.54
2017,2017-06-10,303,"GOA",1473.22
2017,2017-06-10,303,"GOA",4526.84
2017,2017-06-10,303,"GOA",3382.22
2017,2017-06-10,303,"GOA",41.34
